location;iyear;imonth;iday;oyear;otmonth;otday;cyear;cmonth;cday;theatre;besieger;success
Aire;1710;9;6;1710;9;12;1710;11;9;fr;all;y
Albuquerque;1705;5;16;1705;5;17;1705;5;21;sp;all;y
Alcantara;1706;4;9;1706;4;10;1706;4;14;sp;all;y
Alicante;1706;6;7;1706;8;1;1706;9;4;sp;all;y
Alicante;1708;11;30;1708;12;2;1709;4;19;sp;fr;y
Arco;1703;8;8;1703;8;10;1703;8;17;it;fr;
Ath;1706;9;16;1706;9;20;1706;10;2;sn;all;y
Augsburg;1703;12;3;1703;12;7;1703;12;13;ge;fr;y
Barcelona;1705;8;23;1705;9;13;1705;10;9;sp;all;y
Barcelona;1714;7;7;1714;7;12;1714;9;11;sp;fr;y
Benasque;1711;9;1;1711;9;11;1711;9;16;sp;fr;y
Béthune;1710;7;15;1710;7;23;1710;8;29;fr;all;y
Bonn;1703;4;27;1703;5;3;1703;5;15;ge;all;y
Bouchain;1711;8;6;1711;8;9;1711;9;13;fr;all;y
Bouchain;1712;10;1;1712;10;9;1712;10;19;fr;fr;y
Breisach;1703;8;15;1703;8;23;1703;9;7;ge;fr;y
Cartagena;1706;11;11;1706;11;12;1706;11;17;sp;fr;y
Casale;1706;11;15;1706;11;24;1706;12;6;it;all;y
Castel-Leon;1711;9;25;1711;9;28;1711;10;9;sp;fr;y
Castelo de Vide;1704;6;20;1704;6;21;1704;6;25;sp;fr;y
Castigilione;1702;5;27;1702;5;28;1702;6;1;it;fr;y
Chivasso;1705;;;;;;1705;7;29;it;fr;
Ciudad Rodrigo;1706;9;18;1706;9;22;1706;9;26;sp;all;y
Ciudad Rodrigo;1707;9;17;1707;9;18;1707;10;4;sp;fr;y
Cuenca;1706;8;8;1706;8;9;1706;8;10;sp;all;y
Dendermonde;1706;8;27;1706;8;29;1706;9;5;sn;all;y
Denia;1708;11;1;1708;11;7;1708;11;17;sp;fr;y
Diest;1705;10;24;1705;10;24;1705;10;25;sn;fr;y
Douai;1710;4;23;1710;5;4;1710;6;26;fr;all;y
Douai;1712;7;31;1712;8;14;1712;9;8;fr;fr;y
Elche;1706;;;;;;;;;sp;fr;y
Exilles;1708;8;2;1708;8;3;1708;8;12;ge;all;y
Fenestrelles;1708;8;15;1708;8;17;1708;8;31;ge;all;y
Freiburg;1713;9;22;1713;9;30;1713;11;16;ge;fr;y
Ghent;1708;12;18;1708;12;24;1708;12;30;sn;all;y
Gibraltar;1704;8;1;1704;8;3;1704;8;4;sp;all;y
Girona;1710;12;14;1710;12;21;1711;1;14;sp;fr;y
Guastalla;1702;8;29;1702;8;31;1702;9;9;it;fr;y
Hagenau;1705;9;27;1705;9;28;1705;10;5;ge;all;y
Hagenau;1706;5;1;1706;5;2;1706;5;11;ge;fr;y
Huy;1703;8;15;1703;8;17;1703;8;26;sn;all;y
Huy;1705;5;28;1705;5;30;1705;6;11;sn;fr;y
Huy;1705;7;6;1705;7;9;1705;7;11;sn;all;y
Isabella;1704;8;1;1704;8;2;1704;8;3;sn;all;y
Ivree;1704;8;30;1704;9;2;1704;9;30;it;fr;y
Kaiserswerth;1702;4;16;1702;4;18;1702;6;15;ge;all;y
Kehl;1703;2;20;1703;2;25;1703;3;9;ge;fr;y
Landau;1702;6;15;1702;6;16;1702;9;10;ge;all;y
Landau;1703;10;13;1703;10;17;1703;11;17;ge;fr;y
Landau;1704;9;9;1704;9;13;1704;11;25;ge;all;y
Landau;1713;6;11;1713;6;24;1713;8;20;ge;fr;y
Le Quesnoy;1712;6;8;1712;6;19;1712;7;4;fr;all;y
Le Quesnoy;1712;9;8;1712;9;18;1712;10;4;fr;fr;y
Leffinghe;1708;10;17;1708;10;18;1708;10;24;sn;fr;y
Liège;1702;10;13;1702;10;20;1702;10;29;sn;all;y
Lille;1708;8;13;1708;8;22;1708;12;8;fr;all;y
Limburg;1703;9;8;1703;9;23;1703;9;27;sn;all;y
Lleida;1707;9;11;1707;10;2;1707;11;11;sp;fr;y
Marchiennes;1712;7;24;1712;7;25;1712;7;30;fr;fr;y
Menin;1706;7;23;1706;8;4;1706;8;22;sn;all;y
Milan;1707;2;12;1707;2;13;1707;3;12;it;all;y
Mirandola;1705;7;16;1705;7;17;1705;9;8;it;fr;y
Mons;1709;9;20;1709;9;25;1709;10;26;sn;all;y
Morella;1707;11;2;1707;11;2;1707;11;26;sp;fr;y
Nago;1703;7;31;1703;8;1;1703;8;4;it;fr;y
Neubourg;1703;1;31;1703;2;1;1703;2;2;ge;fr;y
Nice;1705;10;31;1705;11;17;1706;1;7;it;fr;y
Oostende;1706;6;20;1706;6;29;1706;7;6;sn;all;y
Pavia;1706;9;29;1706;9;30;1706;10;2;it;all;y
Pizzigetone;1706;10;4;1706;10;17;1706;10;26;it;all;y
Portalegre;1704;6;2;1704;6;7;1704;6;8;sp;fr;y
Rain;1704;7;2;1704;7;9;1704;7;16;ge;all;y
Rheinberg;1702;10;21;1702;10;22;1702;10;30;sn;all;y
Roermond;1702;9;26;1702;10;2;1702;10;6;sn;all;y
Saint Ghislain;1708;11;28;1708;11;29;1708;12;1;sn;fr;y
Saint Venant;1710;9;6;1710;9;16;1710;9;30;fr;all;y
Saint-Donas;1702;5;11;1702;5;12;1702;5;17;sn;all;y
San Felipe;1708;9;16;1708;9;17;1708;9;29;sp;all;y
Stevensweert;1702;9;23;1702;9;24;1702;10;2;sn;all;y
Susa;1704;5;31;1704;6;1;1704;6;12;it;fr;y
Susa;1707;;;;;;1707;10;30;it;all;y
Tortosa;1708;6;4;1708;6;21;1708;7;11;sp;fr;y
Tournai;1709;6;27;1709;7;7;1709;9;3;sn;all;y
Trarbach;1702;10;30;1702;10;30;1702;11;6;ge;fr;y
Ulm;1704;8;23;1704;8;24;1704;9;10;ge;all;y
Valencia de Alcantara;1705;5;2;1705;5;3;1705;5;8;sp;all;y
Venlo;1702;8;28;1702;9;10;1702;9;23;sn;all;y
Vercelli;1704;6;5;1704;6;14;1704;7;20;it;fr;y
Verrua;1704;10;14;1704;11;7;1705;4;8;it;fr;y
Zandvliet;1705;10;23;1705;10;26;1705;10;29;sn;all;y
Zoutleeuw;1705;8;29;1705;8;31;1705;9;5;sn;all;y
Xàtiva;1707;5;2;1707;5;3;1707;6;6;sp;fr;y
